Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2014-12-31T23:30:00+01:00;31/12/2014;23:30;;;;;;73617;Définitif;
2014-12-31T23:00:00+01:00;31/12/2014;23:00;75157;Définitif;6548;Définitif;81705;73714;Définitif;155419
2014-12-31T22:30:00+01:00;31/12/2014;22:30;;;;;;70183;Définitif;
2014-12-31T22:00:00+01:00;31/12/2014;22:00;78958;Définitif;7079;Définitif;86037;68850;Définitif;154887
2014-12-31T21:30:00+01:00;31/12/2014;21:30;;;;;;69522;Définitif;
2014-12-31T21:00:00+01:00;31/12/2014;21:00;82820;Définitif;7434;Définitif;90254;70777;Définitif;161031
2014-12-31T20:30:00+01:00;31/12/2014;20:30;;;;;;72349;Définitif;
2014-12-31T20:00:00+01:00;31/12/2014;20:00;85366;Définitif;7659;Définitif;93025;74198;Définitif;167223
2014-12-31T19:30:00+01:00;31/12/2014;19:30;;;;;;75863;Définitif;
2014-12-31T19:00:00+01:00;31/12/2014;19:00;88489;Définitif;7884;Définitif;96373;76860;Définitif;173233
2014-12-31T18:30:00+01:00;31/12/2014;18:30;;;;;;76629;Définitif;
2014-12-31T18:00:00+01:00;31/12/2014;18:00;90076;Définitif;8024;Définitif;98100;75932;Définitif;174032
2014-12-31T17:30:00+01:00;31/12/2014;17:30;;;;;;72734;Définitif;
2014-12-31T17:00:00+01:00;31/12/2014;17:00;89742;Définitif;7801;Définitif;97543;69871;Définitif;167414
2014-12-31T16:30:00+01:00;31/12/2014;16:30;;;;;;68977;Définitif;
2014-12-31T16:00:00+01:00;31/12/2014;16:00;86574;Définitif;7278;Définitif;93852;69062;Définitif;162914
2014-12-31T15:30:00+01:00;31/12/2014;15:30;;;;;;69859;Définitif;
2014-12-31T15:00:00+01:00;31/12/2014;15:00;84612;Définitif;6984;Définitif;91596;70960;Définitif;162556
2014-12-31T14:30:00+01:00;31/12/2014;14:30;;;;;;72966;Définitif;
2014-12-31T14:00:00+01:00;31/12/2014;14:00;84967;Définitif;7134;Définitif;92101;73736;Définitif;165837
2014-12-31T13:30:00+01:00;31/12/2014;13:30;;;;;;74957;Définitif;
2014-12-31T13:00:00+01:00;31/12/2014;13:00;87375;Définitif;7508;Définitif;94883;76852;Définitif;171735
2014-12-31T12:30:00+01:00;31/12/2014;12:30;;;;;;76448;Définitif;
2014-12-31T12:00:00+01:00;31/12/2014;12:00;90958;Définitif;8068;Définitif;99026;76522;Définitif;175548
2014-12-31T11:30:00+01:00;31/12/2014;11:30;;;;;;76705;Définitif;
2014-12-31T11:00:00+01:00;31/12/2014;11:00;95256;Définitif;8661;Définitif;103917;76837;Définitif;180754
2014-12-31T10:30:00+01:00;31/12/2014;10:30;;;;;;77400;Définitif;
