Date - Heure;Date;Heure;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2020-12-31T23:30:00+01:00;31/12/2020;23:30;;;;;;66599;Consolidé;
2020-12-31T23:00:00+01:00;31/12/2020;23:00;69896;Définitif;4398;Définitif;74294;66704;Consolidé;140998
2020-12-31T22:30:00+01:00;31/12/2020;22:30;;;;;;64176;Consolidé;
2020-12-31T22:00:00+01:00;31/12/2020;22:00;73448;Définitif;4806;Définitif;78254;63351;Consolidé;141605
2020-12-31T21:30:00+01:00;31/12/2020;21:30;;;;;;64267;Consolidé;
2020-12-31T21:00:00+01:00;31/12/2020;21:00;77829;Définitif;5228;Définitif;83057;65461;Consolidé;148518
2020-12-31T20:30:00+01:00;31/12/2020;20:30;;;;;;67156;Consolidé;
2020-12-31T20:00:00+01:00;31/12/2020;20:00;80555;Définitif;5399;Définitif;85954;68771;Consolidé;154725
2020-12-31T19:30:00+01:00;31/12/2020;19:30;;;;;;69762;Consolidé;
2020-12-31T19:00:00+01:00;31/12/2020;19:00;82981;Définitif;5639;Définitif;88620;70245;Consolidé;158865
2020-12-31T18:30:00+01:00;31/12/2020;18:30;;;;;;69838;Consolidé;
2020-12-31T18:00:00+01:00;31/12/2020;18:00;85357;Définitif;5826;Définitif;91183;69377;Consolidé;160560
2020-12-31T17:30:00+01:00;31/12/2020;17:30;;;;;;67458;Consolidé;
2020-12-31T17:00:00+01:00;31/12/2020;17:00;85820;Définitif;5841;Définitif;91661;65339;Consolidé;157000
2020-12-31T16:30:00+01:00;31/12/2020;16:30;;;;;;64802;Consolidé;
2020-12-31T16:00:00+01:00;31/12/2020;16:00;84114;Définitif;5627;Définitif;89741;64904;Consolidé;154645
2020-12-31T15:30:00+01:00;31/12/2020;15:30;;;;;;65572;Consolidé;
2020-12-31T15:00:00+01:00;31/12/2020;15:00;82181;Définitif;5466;Définitif;87647;66178;Consolidé;153825
2020-12-31T14:30:00+01:00;31/12/2020;14:30;;;;;;67399;Consolidé;
2020-12-31T14:00:00+01:00;31/12/2020;14:00;82524;Définitif;5471;Définitif;87995;68403;Consolidé;156398
2020-12-31T13:30:00+01:00;31/12/2020;13:30;;;;;;69634;Consolidé;
2020-12-31T13:00:00+01:00;31/12/2020;13:00;83529;Définitif;5577;Définitif;89106;71148;Consolidé;160254
2020-12-31T12:30:00+01:00;31/12/2020;12:30;;;;;;70591;Consolidé;
2020-12-31T12:00:00+01:00;31/12/2020;12:00;86624;Définitif;5792;Définitif;92416;69827;Consolidé;162243
2020-12-31T11:30:00+01:00;31/12/2020;11:30;;;;;;69184;Consolidé;
2020-12-31T11:00:00+01:00;31/12/2020;11:00;89411;Définitif;6030;Définitif;95441;68877;Consolidé;164318
